RURAL_SCORE,ZIP_CODE,COUNTY,STATE,NAME,CITY,REGION,ADDRESS
64.5,5255,Bennington,VT,"Aardbark, Inc.",,New England,247-D Manchester Valley Rd.
29.5,61422,McDonough,IL,ADM Co.,,Midwest,160 E. Main St.
15.8,64152,Platte,MO,ADM Crosswind,,Central,6300 N.W. Kelly Dr.
5.8,63304,St. Charles,MO,AFB International,,Central,3 Research Park Dr.
58.7,65605,Lawrence,MO,AFB International,,Central,117 Morgan Ave.
13.6,57103,Minnehaha,SD,"AgriCare Nutrition, LLC",,Upper-West,1801 N. Cliff Ave.
63.7,16335,Crawford,PA,"Ainsworth Pet Nutrition, Inc.",,Mid-Atlantic,984 Water St.
3.6,6460,New Haven,CT,"ALC INovators, Inc.",,New England,230 Pepes Farm Rd.
2.1,95683,Sacramento,CA,"Alforex Seeds, LLC",,Western,13147 Jackson Hwy.
20.5,80631,Weld,CO,"All American Pet Proteins, LLC",,Upper-West,259 30th St.
100,40069,Washington,KY,"Alltech Biotechnology Center, Inc.",,Southeast,223 Progress Ave.
0,33064,Broward,FL,"American Health Kennels, Inc.",,Southeast,4351 N.E. 11th Ave.
5.8,84401,Weber,UT,"American Nutrition, Inc.",,Upper-West,2813 Wall Ave.
9.9,30041,Forsyth,GA,"American Proteins, Inc.",,Southeast,4705 Leland Dr.
2.9,18969,Montgomery,PA,"Annamaet Petfoods, Inc.",,Mid-Atlantic,"375 E. Church Ave., Ste. 2"
3.7,7727,Monmouth,NJ,"ANS Nutrition, Inc.",,New York-New Jersey,700 Central Ave.
59.2,54409,Langlade,WI,"Antigo Rendering Works, Inc.",,Midwest,115 S. Clermont St.
26.1,13903,Broome,NY,Arco Pet Food Co.,,New York-New Jersey,2920 Webb Rd.
2.6,11746,Suffolk,NY,Armellino's K9 Diet,,New York-New Jersey,25 Melville Rd. N.
N/A,20757,Prince Georges,MD,Aunt Jeni's Home Made,,Mid-Atlantic,P.O. Box 124
12.3,53559,Dane,WI,Bailey Farms,,Midwest,549 Karem Dr.
3.3,84663,Utah,UT,Ballard Mfg.,,Upper-West,1375 Mountain Springs Pkwy.
1.1,28203,Mecklenburg,NC,"Barbara's Canine Catering, Inc.",,Southeast,"125 Remount Rd., Ste. A"
0.8,94506,Contra Costa,CA,"BARF World, Inc.",,Western,"3840 Blackhawk Rd., Ste. 100"
2,32811,Orange,FL,"Bark Avenue Bakery, Inc.",,Southeast,4307 Vineland Rd.
44.1,68467,York,NE,"Beaver Creek Products, LLC",,Central,308 Marquis Ave.
3.3,92069,San Diego,CA,"Bell Rock Growers, Inc.",,Western,3700 N. Twin Oaks Valley Rd.
9,46544,St. Joseph,IN,"Bench & Field Pet Foods, LLC",,Midwest,1025 W. 11th St.
2.2,68107,Douglas,NE,"BHJ USA, Inc.",,Central,2510 Edward Babe Gomez Ave.
13.4,64504,Buchanan,MO,"BHJ, Inc.",,Central,5307 Stockyards Expy.
15.8,66618,Shawnee,KS,Big Heart Pet Brands,,Central,2200 N.W. Brickyard Rd.
11,66044,Douglas,KS,Big Heart Pet Brands,,Central,727 N. Iowa St.
38.6,35601,Morgan,AL,"Big Heart Pet Brands, Inc.",,Southeast,1200 Market St. N.E.
9.4,14240,Erie,NY,"Big Heart Pet Brands, Inc.",,New York-New Jersey,243 Urban St.
0,94111,San Francisco,CA,"Big Heart Pet Brands, Inc.",,Western,"1 Maritime Plz., 300 Clay St."
40.9,17815,Columbia,PA,Big Heart Pet Products,,Mid-Atlantic,6670 Low St.
51.9,74501,Pittsburg,OK,"Big V Feeds, Inc.",,South Central,1621 E. Electric Ave.
29.8,44256,Medina,OH,"BIL-JAC Foods, Inc.",,Midwest,3337 Medina Rd.
4.6,6897,Fairfield,CT,"Blue Buffalo Co., Ltd.",,New England,P.O. Box 770
3.2,98102,King,WA,"Blue Dog Bakery Group, Inc.",,North West,"3302 Fuhrman Ave. E., Ste. 202"
N/A,21213,Independent,MD,"Boesl Packing Co., Inc.",,Mid-Atlantic,2322 Bel Air Rd.
45.3,8069,Salem,NJ,"Bravo Packing, Inc.",,New York-New Jersey,59 N. Gothwood Ave.
5.4,6040,Hartford,CT,"Bravo!, LLC",,New England,349 Wetherell St.
0.1,91706,Orange,CA,Breeder's Choice Pet Foods,,Western,16321 Arrow Hwy.
23.7,19608,Berks,PA,"Brown's Sons, Inc., F. M.",,Mid-Atlantic,205 Woodrow Ave.
2.2,68110,Douglas,NE,"Butcher's Block Pet Treats, LLC",,Central,"2505 N. 24th St., Ste. 503"
100,68420,Pawnee,NE,"C. J. Foods, Inc.",,Central,71045 N. Highway 50
75.2,66408,Nemaha,KS,"C. J. Foods, Inc.",,Central,121 Main St.
49.1,66713,Cherokee,KS,"C. J. Foods, Inc.",,Central,100 N. Youngman Rd.
4.6,92860,Riverside,CA,Canidae Natural Pet Food Co.,,Western,1975 Tandem Way
4.6,92503,Riverside,CA,"Canine Caviar Pet Foods, Inc.",,Western,4131 Tigris Way
33.9,50501,Webster,IA,Canine Performance Nutrition,,Central,2715 210th St.
28.9,46953,Grant,IN,"Canine's Choice, Inc.",,Midwest,1019 E. 26th St.
N/A,70438,Washington,LA,Cargill,,South Central,1012 Pearl St.
26.2,78155,Guadalupe,TX,Cargill Animal Nutrition,,South Central,2464 Highway 46 N.
8.5,95206,San Joaquin,CA,"Cargill Animal Nutrition, Inc.",,Western,4344 S. El Dorado St.
14.5,54308,Brown,WI,Carnivore Meat Co.,,Midwest,2878 Ontario Rd.
34.4,28645,Caldwell,NC,Carolina Prime Pet,,Southeast,2040 Morganton Blvd. S.W.
57.5,71753,Columbia,AR,"Circle J Extreme, LLC",,South Central,61 Highway 371 S.
14.5,54313,Brown,WI,Circle R Mink Ranch,,Midwest,3650 Shady Ln.
0.2,53212,Milwaukee,WI,"Companion Natural Pet Food, LLC",,Midwest,"3720 N. Fratney St., Ste. 2-B"
6.9,80215,Jefferson,CO,"Cosmos Dog Biscuit Bakery, Inc.",,Upper-West,"10111 W. 26th Ave., Ste. 101"
75.2,66534,Nemaha,KS,"Crosswind Petfoods, Inc.",,Central,509 S. Old Highway 75
30.8,53040,Washington,WI,"Dairyland Seed Co., Inc.",,Midwest,3570 Highway H
15.3,41076,Campbell,KY,"Darling Ingredients, Inc.",,Southeast,4221 Alexandria Pike
6.1,66118,Wyandotte,KS,"Darling International, Inc.",,Central,229 N. James St.
32.2,52732,Clinton,IA,"Darling International, Inc.",,Central,1423 Beaver Channel Pkwy.
53.2,37172,Robertson,TN,Delight Products Co.,,Southeast,1200 Industrial Dr.
100,65058,Osage,MO,Diamond Pet Foods,,Central,103 N. Olive
8.5,95330,San Joaquin,CA,"Diamond Pet Foods, Inc.",,Western,250 Roth Rd.
3.7,7716,Monmouth,NJ,Dr. Harvey's Healthy Formulations Inc.,,New York-New Jersey,25 W. Highland Ave.
41.1,74401,Muskogee,OK,"DVM Nutrition, Inc.",,South Central,1509 N. Main St.
2.2,45214,Hamilton,OH,"Emmert Co., The F.L.",,Midwest,2007 Dunlap St.
0,60428,Cook,IL,"Evanger Dog & Cat Food Co., Inc.",,Midwest,2210 W. 162nd St.
0.2,55109,Ramsey,MN,"Evolution Health Sciences - Evolution Pet Foods, Supplements & Co",,Midwest,"1081 Highway 36 E., Dept. 3"
4.9,50322,Polk,IA,"EW Nutrition USA, Inc.",,Central,3227 99th St.
0.2,53223,Milwaukee,WI,"Exclusively Pet, Inc.",,Midwest,7711 N. 81st St.
75.2,66538,Nemaha,KS,"Fairview Mills, Inc.",,Central,604 Nemaha
50.8,51250,Sioux,IA,Farmers Co-Op Society,,Central,317 3rd St. N.W.
6.8,7045,Morris,NJ,Fat Murray's Doggy Treats,,New York-New Jersey,3 Deer Hill Dr.
32.5,80701,Morgan,CO,Fort Morgan Pet Food Co.,,Upper-West,13553 County Road 19
0,7094,Hudson,NJ,"Freshpet, Inc.",,New York-New Jersey,"400 Plaza Dr., 1st Fl."
24.9,53097,Ozaukee,WI,"Fromm Family Foods, LLC",,Midwest,13145 N. Green Bay Rd.
89.5,54984,Waushara,WI,"Front Porch Pets, Inc.",,Midwest,N4935 State Road 22
20.8,46383,Porter,IN,"Fud's, J. J.",,Midwest,316 N 400 E
4.6,92860,Riverside,CA,"Gentle Giants Products, Inc.",,Western,4867 Pedley Ave.
2.2,55419,Hennepin,MN,"Great Dog Co., LLC",,Midwest,5103 Garfield Ave.
2.9,8701,Ocean,NJ,"Gwenstone, Inc",,New York-New Jersey,1 Kenyon Dr.
23.7,64804,Jasper,MO,"Hampshire Pet Products, LLC",,Central,7502 E. 26th St.
9.4,14212,Erie,NY,"Hands & Paws Cookies & Treats, Inc.",,New York-New Jersey,999 Broadway St.
0.7,48223,Wayne,MI,"Happy Howies, Inc.",,Midwest,15510 Dale St.
44.7,46947,Cass,IN,"Hartz Mountain Corp., The",,Midwest,40 E. Industrial Blvd.
17.3,45162,Warren,OH,"Hartz Mountain Corp., The",,Midwest,5374 Long Spurling Rd.
15.2,84770,Washington,UT,"HealthTech International, Inc.",,Upper-West,1198 W. 1130 N.
70.8,18371,Pike,PA,"Healthy Alternative Pet Diets, Inc.",,Mid-Atlantic,116 The Gln
4.8,48360,Oakland,MI,Healthy Dogma,,Midwest,2643 S. Lapeer Rd.
13.3,19380,Chester,PA,"Healthy Pet Foods, Inc.",,Mid-Atlantic,505 Legion Dr.
25.1,68057,Dodge,NE,"Heartland Blends, LLC",,Central,963 County Road F
41.1,67648,Russell,KS,Heartland Hay,,Central,701 N. Main
20.8,46347,Porter,IN,Heinold Feeds,,Midwest,207 E. Mentor St.
15.8,66603,Shawnee,KS,"Hill's Pet Nutrition, Inc.",,Central,320 N.E. Crane St.
31.2,42101,Warren,KY,"Hill's Pet Nutrition, Inc.",,Southeast,151 Turner Ct.
15.8,66603,Shawnee,KS,"Hill's Pet Nutrition, Inc.",,Central,400 S.W. 8th St.
33,47374,Wayne,IN,"Hill's Pet Nutrition, Inc.",,Midwest,2325 Union Pike
10.8,98275,Snohomish,WA,Himalayan Corporation,,North West,4480 Chennault Beach Rd.
